First_name,Surname,Height,Weight,Armspan,Wins,Losses,Draws,Total_Fights,Win_Percentage,sex_weight,sex,verified_sex
Jessica-Rose,Clark,65,125,64,9,5,0,14,0.642857143,unknown,unknown,female
Marloes,Coenen,69,145,67,21,5,0,26,0.807692308,unknown,unknown,female
Bethe,Correia,65,135,64,11,4,1,16,0.71875,unknown,unknown,female
Sijara,Eubanks,64,135,67,5,4,0,9,0.555555556,unknown,unknown,female
Pannie,Kianzad,67,135,66,12,5,0,17,0.705882353,unknown,unknown,female
Ji Yeon,Kim,67,125,72,9,2,2,13,0.769230769,unknown,unknown,female
Bec,Rawlings,66,125,64,7,8,0,15,0.466666667,unknown,unknown,female
Duda,Santana,67,145,73,3,1,0,4,0.75,unknown,unknown,female
Julija,Stoliarenko,67,145,66,4,4,1,9,0.5,unknown,unknown,female
Ketlen,Vieira,68,135,68,10,0,0,10,1,unknown,unknown,female
Yanan,Wu,68,125,66,10,3,0,13,0.769230769,unknown,unknown,female
Cat,Zingano,66,145,68,10,4,0,14,0.714285714,unknown,unknown,female
Irene,Aldana,69,135,68,11,5,0,16,0.6875,unknown,female,female
Megan,Anderson,72,145,72,10,4,0,14,0.714285714,unknown,female,female
Julia,Avila,67,135,68,7,1,0,8,0.875,unknown,female,female
Shayna,Baszler,67,135,67,15,10,0,25,0.6,unknown,female,female
Diana,Belbita,67,125,68,13,5,0,18,0.722222222,unknown,female,female
Talita,Bernardo,64,135,68,6,4,0,10,0.6,unknown,female,female
Priscila,Cachoeira,67,125,65,8,3,0,11,0.727272727,unknown,female,female
Liz,Carmouche,66,125,66,13,7,0,20,0.65,unknown,female,female
Macy,Chiasson,71,135,72,6,1,0,7,0.857142857,unknown,female,female
Alexis,Davis,66,125,68,19,10,0,29,0.655172414,unknown,female,female
Shana,Dobson,66,125,69,3,3,0,6,0.5,unknown,female,female
Alexis,Dufresne,69,135,68,5,4,0,9,0.555555556,unknown,female,female
Tonya,Evinger,67,135,70,19,8,0,27,0.703703704,unknown,female,female
Melinda,Fabian,66,125,66,4,4,2,10,0.5,unknown,female,female
Kelly,Faszholz,68,135,67,3,2,0,5,0.6,unknown,female,female
Sheila,Gaff,65,135,62,10,6,1,17,0.617647059,unknown,female,female
Hannah,Goldy,64,125,61,5,1,0,6,0.833333333,unknown,female,female
Holly,Holm,68,135,69,12,5,0,17,0.705882353,unknown,female,female
Mizuki,Inoue,63,125,65,14,5,0,19,0.736842105,unknown,female,female
Liana,Jojua,64,135,62,7,3,0,10,0.7,unknown,female,female
Sarah,Kaufman,65,135,67,17,4,0,21,0.80952381,unknown,female,female
Justine,Kish,65,125,64,6,2,0,8,0.75,unknown,female,female
Aspen,Ladd,66,135,66,8,1,0,9,0.888888889,unknown,female,female
Andrea,Lee,66,125,69,11,3,0,14,0.785714286,unknown,female,female
Leah,Letson,67,145,71,5,2,0,7,0.714285714,unknown,female,female
Veronica,Macedo,64,125,64,6,3,1,10,0.65,unknown,female,female
Bea,Malecki,69,135,74,3,0,0,3,1,unknown,female,female
Gina,Mazany,66,135,68,5,3,0,8,0.625,unknown,female,female
Molly,McCann,64,125,62,10,2,0,12,0.833333333,unknown,female,female
Vanessa,Melo,65,135,65,9,6,0,15,0.6,unknown,female,female
Roxanne,Modafferi,67,125,69,23,17,0,40,0.575,unknown,female,female
Sarah,Moras,67,135,67,6,6,0,12,0.5,unknown,female,female
Rin,Nakai,61,135,60,16,2,1,19,0.868421053,unknown,female,female
Amanda,Nunes,68,135,69,18,4,0,22,0.818181818,unknown,female,female
Larissa,Pacheco,67,135,69,10,2,0,12,0.833333333,unknown,female,female
Raquel,Pennington,67,135,67,10,8,0,18,0.555555556,unknown,female,female
Lara,Procopio,64,135,67,6,1,0,7,0.857142857,unknown,female,female
Marion,Reneau,66,135,68,9,5,1,15,0.633333333,unknown,female,female
Mara,Romero Borella,66,125,69,12,6,0,18,0.666666667,unknown,female,female
Ronda,Rousey,67,135,68,12,2,0,14,0.857142857,unknown,female,female
Rosi,Sexton,63,135,63,13,4,0,17,0.764705882,unknown,female,female
